key,value
today_date,2026-09-25
yesterday_date,2026-09-24
report_date,2026-09-25
numbers_date,2026-09-24
updated_at,9/25 ~9:35 AM CDT
slot,AM
am_status,COMPLETE_AM_READY
lane_split,PACKET_CUT
packet_format,plain CSV; Lane B never
section,field,store,value
minors,note,Market,Thu 9/24 M-roster no flags; Allie UN 4.57; Lola AN 3.62; Samuel CV 2.07; Natalie/Jameera/William/Thea/Mckenna/Thomas off
tickets,note,Market,Thu 9/24 12-min SKIP per Joe — Mon 9/21 WTD held
tickets,lunch,Anderson,0
tickets,mid,Anderson,0
tickets,dinner,Anderson,0
tickets,total,Anderson,0
tickets,wtd,Anderson,0
tickets,lunch,Crestview,3
tickets,mid,Crestview,0
tickets,dinner,Crestview,4
tickets,total,Crestview,7
tickets,wtd,Crestview,7
tickets,lunch,Florence,0
tickets,mid,Florence,0
tickets,dinner,Florence,0
tickets,total,Florence,0
tickets,wtd,Florence,0
tickets,lunch,Harrison,0
tickets,mid,Harrison,0
tickets,dinner,Harrison,0
tickets,total,Harrison,0
tickets,wtd,Harrison,0
tickets,lunch,Union,0
tickets,mid,Union,0
tickets,dinner,Union,2
tickets,total,Union,2
tickets,wtd,Union,2
tickets,lunch,Scott4,3
tickets,mid,Scott4,0
tickets,dinner,Scott4,4
tickets,total,Scott4,7
tickets,wtd,Scott4,7
tickets,lunch,ScottMarket,3
tickets,mid,ScottMarket,0
tickets,dinner,ScottMarket,6
tickets,total,ScottMarket,9
tickets,wtd,ScottMarket,9
managers,today,Anderson,Sarah 6 / Stefan 10 / Emma close
managers,today,Crestview,Ritter 3-7 / Kevin 6-4 / Johie 12-3 4-close
managers,today,Florence,Yazmin 6-4 / Allison 730 / Kyle 9-7 / Nick 11-3 / Olivia 5:30-cl
managers,today,Harrison,Russ 6 / Belle 7-2 / Ethan 930 / Angi 10-2 / Natalie 1130
managers,today,Union,Jed 6-4p / Angi 8-3 / Molly 9:30 / Des 3-cl
managers,tomorrow,Anderson,John 6 · Stefan 10 · Emma close
managers,tomorrow,Crestview,Ritter 3-7 · Jessie 6-4 · Kierstan 8-3 · Johie 3-close
managers,tomorrow,Florence,Yazmin 6-4 · Allison 730 · Charles 9-7 · Kyle 12-cl
managers,tomorrow,Harrison,Ethan 6 · Belle 7-2 · Heidy 930 · Angi 3-cl
managers,tomorrow,Union,Kleyer 7-3p · Angi 8-3 · Des 9a-4 · Jed 9:30a · Sofia 11:30
managers,at,Market,9/24 AM - Today Thu 9/24 + Tomorrow Fri 9/25 (P10W3)
catering_guest_surveys,row,Harrison,9/23 12:37 PM 5★ The staff at this McAlister's location knocks it out of the park every time! Orders are always exactly as we ordered, boxes are labeled, everything is done on time, and soup is hot. Our company will pick this McAlister's over and over - our guests love it and we love the ease and accuracy.
catering_guest_surveys,row,Crestview,9/22 11:37 AM 5★ no comment visible
catering_guest_surveys,row,Crestview,9/18 10:28 AM 5★ no comment visible
catering_guest_surveys,row,Florence,9/18 9:06 AM 5★ office lunch — easy order on-time professional delivery
catering_guest_surveys,row,Union,9/17 9:11 AM 5★ Angie/team last-minute wonderful
catering_guest_surveys,row,Anderson,9/16 10:42 PM 5★ Everything was well prepared
catering_guest_surveys,row,Union,9/16 3:59 PM 5★ Angie/team late delivery confirm
catering_guest_surveys,row,Florence,9/16 10:13 AM 5★ on time and fresh
catering_guest_surveys,row,Anderson,9/16 9:22 AM 5★ Adriana same-day accommodate
catering_guest_surveys,row,Crestview,9/16 9:07 AM 5★ online order correct friendly
catering_guest_surveys,row,Anderson,9/14 6:32 PM 5★ sandwiches amazing shower
catering_guest_surveys,at,Market,9/24 ~7:38 AM ET
catering_guest_surveys,note,Market,Post Catering Experience only — not GF 5★/MO; catch-up HA 9/23 5★ accuracy/labeling/timing/hot soup (store label normalized to Harrison) + CV 9/22 5★ no comment
coach,guest,Harrison,9/23 positive/thanks Contact Us forgotten order + free desserts/milkbones (store→Harrison); OA 0; catering 9/23 5★ accuracy
coach,guest,Anderson,9/23 CLOSED Contact Request kids meals missing Mac and cheese side
coach,guest,Union,9/21 CLOSED Contact Us GF bread hard + turkey toastie as cheese (reward Yes); carry known Tue
coach,guest,Florence,9/23 4:33 PM OPEN NEW Contact Request score 3 skimpy cheese/bacon/spud underdone + friends served first
coach,guest,Crestview,HOT 9/24 6:06 AM 3★ upside-down pineapple cake drink extremely sweet/stomach; HOT 9/23 2:32 PM 3★ one food item extremely lacking for cost
gf,rockstars_today,Market,none on page-1 scroll
gf,at,Market,9/24 ~7:38 AM ET
gf,note,Market,Wed 9/23 night skip catch-up Thu AM: OA FL1 Contact Request skimpy cheese/bacon/spud underdone + served after friends; hot CV 9/24 6:06 AM upside-down pineapple cake drink extremely sweet/stomach + CV 9/23 2:32 PM one food item extremely lacking; CLOSED AN kids Mac-and-cheese + UN 9/21 GF bread hard/turkey toastie as cheese; positive HA 9/23 thanks forgotten order + free desserts/milkbones (store label normalized to Harrison); catering HA 9/23 5★ accuracy/labeling/timing/hot soup + CV 9/22 5★; rockstars none page-1; MO none page-1; Ranker skipped on-request; Coach/Guest Follow-up none page-1
ez_cater,star,Anderson,5
ez_cater,rockstar,Anderson,YES
ez_cater,on_time,Anderson,98.6
ez_cater,acc,Anderson,98.6
ez_cater,tracking,Anderson,95.2
ez_cater,star,Crestview,5
ez_cater,rockstar,Crestview,YES
ez_cater,on_time,Crestview,100
ez_cater,acc,Crestview,100
ez_cater,tracking,Crestview,99
ez_cater,star,Florence,4.8
ez_cater,rockstar,Florence,YES
ez_cater,on_time,Florence,100
ez_cater,acc,Florence,100
ez_cater,tracking,Florence,100
ez_cater,star,Harrison,5
ez_cater,rockstar,Harrison,NO
ez_cater,on_time,Harrison,98.3
ez_cater,acc,Harrison,100
ez_cater,tracking,Harrison,86.5
ez_cater,star,Union,5
ez_cater,rockstar,Union,YES
ez_cater,on_time,Union,100
ez_cater,acc,Union,100
ez_cater,tracking,Union,96.7
ez_cater,star,ScottMarket,4.96
ez_cater,rockstar,ScottMarket,0.80
ez_cater,on_time,ScottMarket,99.4
ez_cater,acc,ScottMarket,99.7
ez_cater,tracking,ScottMarket,95.5
ez_cater,at,Market,9/25 5:29 AM ET
ez_cater,note,Market,Fri 9/25 MWF pull; Rockstar unchanged vs Wed 9/23 (HA still NO); HA tracking 85.7 to 86.5; AN tracking 95.2; Scott tracking 95.5; no new catering rockstars; osat30/osat90 preserved
alerts,open,Anderson,0
alerts,open,Crestview,0
alerts,open,Florence,1
alerts,open,Harrison,0
alerts,open,Union,0
alerts,at,Market,9/24 ~7:38 AM ET
alerts,opened_at,Florence,9/23 4:33 PM ET Contact Request — Skimpy on the cheese and bacon and the spud and it was a little on the hard side/underdone also my friends ordered after me but all got their food before me by atleast 5 min. | no reward | OPEN NEW score 3
alerts,note,Market,FL 1 OPEN Contact Request (skimpy cheese/bacon/spud underdone + served after friends); AN/CV/HA/UN 0
opp,card_date,Market,2026-09-24
opp,open,Florence,Contact Request 9/23 4:33 PM — Skimpy on the cheese and bacon and the spud and it was a little on the hard side/underdone also my friends ordered after me but all got their food before me by atleast 5 min. | no reward | OPEN NEW score 3
opp,hot,Crestview,3★ 9/24 6:06 AM — Food was great 👍 but my drink was extremely sweet ...I had the new flavor upside-down pineapple cake thing i took a sip and ***! ...I disnt not drink it ...as a matter of fact it's still in my fridge...I believe it upset my stomach something terrible!...ughhhh...other then that all was great | HOT; no alert
opp,hot,Crestview,3★ 9/23 2:32 PM — Service was efficient. One food item was extremely lacking, especially considering the cost. | HOT; no alert
opp,closed,Anderson,Contact Request 9/23 11:16 AM — Ordered 2 kids meals in restaurant to go. Got home and only one had the side of Mac and cheese. I didn’t feel like going back out and walking in and back out then drive home for it ! | CLOSED score 3
opp,closed,Union,Contact Us 9/21 8:29 PM — I ordered a gluten free half chicken salad sandwich and the bread was so hard I could slam it on the table and it wouldn’t budge. Had to eat it without the bread. I also ordered a turkey toastie for my daughter. They Only did a cheese toastie | reward Yes | CLOSED
opp,thanks,Harrison,Contact Us 9/23 7:15 PM — we just went back to pick up some of our order that was forgotten. the man whom retrieved the remainder of our order felt sorry for the mix up, and compensated us with free desserts and milkbones for our dogs. please deliver our thanks to this man | positive/thanks (store label normalized to Harrison) | no alert
opp,note,Market,MO none on page-1 scroll — do not invent Market Opportunity board rows; rockstars none on page-1 scroll
rockstars,2026-09-17,Union,Angie — guest: I had put this last minute order in and McAlister's team did wonderfully with everything! We will definitely be using them again. Thanks Angie and team! (9:11 AM)
rockstars,2026-09-16,Union,Angie — guest: Angie and her team at the Florence KY McAlister's are excellent. I placed a very late order and was called to confirm and arrange time for delivery. McAlister's has been my go-to for a while now .. always top notch service. (3:59 PM)
rockstars,2026-09-16,Anderson,Adriana — guest: Easy to order. Catering Coordinator, Adriana was very friendly and was able to accommodate a last minute order request for a same day delivery. (9:22 AM)
mnky_today,date,Market,2026-09-25
mnky_today,closed,Anderson,—
mnky_today,open,Anderson,0
mnky_today,total,Anderson,0
mnky_today,total_sales,Anderson,0.00
mnky_today,flags,Anderson,—
mnky_today,closed,Crestview,—
mnky_today,open,Crestview,4
mnky_today,total,Crestview,4
mnky_today,total_sales,Crestview,1559.53
mnky_today,flags,Crestview,—
mnky_today,closed,Florence,—
mnky_today,open,Florence,2
mnky_today,total,Florence,2
mnky_today,total_sales,Florence,485.29
mnky_today,flags,Florence,—
mnky_today,closed,Harrison,—
mnky_today,open,Harrison,1
mnky_today,total,Harrison,1
mnky_today,total_sales,Harrison,253.58
mnky_today,flags,Harrison,—
mnky_today,closed,Union,—
mnky_today,open,Union,0
mnky_today,total,Union,0
mnky_today,total_sales,Union,0.00
mnky_today,flags,Union,—
mnky_today,closed,ScottMarket,—
mnky_today,open,ScottMarket,7
mnky_today,total,ScottMarket,7
mnky_today,total_sales,ScottMarket,2298.40
mnky_today,flags,ScottMarket,—
mnky_today,unclosed_footer,Market,—
mnky_tomorrow,date,Market,2026-09-26
mnky_tomorrow,closed,Anderson,0
mnky_tomorrow,open,Anderson,2
mnky_tomorrow,total,Anderson,2
mnky_tomorrow,orders,Anderson,2
mnky_tomorrow,sales,Anderson,318.97
mnky_tomorrow,flags,Anderson,1 purple
mnky_tomorrow,closed,Crestview,0
mnky_tomorrow,open,Crestview,0
mnky_tomorrow,total,Crestview,0
mnky_tomorrow,orders,Crestview,0
mnky_tomorrow,sales,Crestview,0.00
mnky_tomorrow,flags,Crestview,—
mnky_tomorrow,closed,Florence,0
mnky_tomorrow,open,Florence,1
mnky_tomorrow,total,Florence,1
mnky_tomorrow,orders,Florence,1
mnky_tomorrow,sales,Florence,165.20
mnky_tomorrow,flags,Florence,—
mnky_tomorrow,closed,Harrison,0
mnky_tomorrow,open,Harrison,0
mnky_tomorrow,total,Harrison,0
mnky_tomorrow,orders,Harrison,0
mnky_tomorrow,sales,Harrison,0.00
mnky_tomorrow,flags,Harrison,—
mnky_tomorrow,closed,Union,0
mnky_tomorrow,open,Union,0
mnky_tomorrow,total,Union,0
mnky_tomorrow,orders,Union,0
mnky_tomorrow,sales,Union,0.00
mnky_tomorrow,flags,Union,—
mnky_tomorrow,closed,ScottMarket,0
mnky_tomorrow,open,ScottMarket,3
mnky_tomorrow,total,ScottMarket,3
mnky_tomorrow,orders,ScottMarket,3
mnky_tomorrow,sales,ScottMarket,484.17
mnky_tomorrow,flags,ScottMarket,1 purple
mnky_week,date,Market,2026-09-27
mnky_week,orders,Anderson,0
mnky_week,sales,Anderson,0.00
mnky_week,flags,Anderson,—
mnky_week,orders,Crestview,0
mnky_week,sales,Crestview,0.00
mnky_week,flags,Crestview,—
mnky_week,orders,Florence,0
mnky_week,sales,Florence,0.00
mnky_week,flags,Florence,—
mnky_week,orders,Harrison,0
mnky_week,sales,Harrison,0.00
mnky_week,flags,Harrison,—
mnky_week,orders,Union,2
mnky_week,sales,Union,176.20
mnky_week,flags,Union,—
mnky_week,orders,ScottMarket,2
mnky_week,sales,ScottMarket,176.20
mnky_week,flags,ScottMarket,—
mnky,at,Market,9/25 ~7:42 AM ET
mnky,note,Market,Fri 9/25 AM Monkey folded 86/$30998.09 week 09/21-09/27; Panda live 4 WOs; Zenput Thu ALL5
market_news,window,Market,21d
market_news,window_start,Market,2026-09-25
market_news,window_end,Market,2026-10-15
market_news,birthday,Crestview,William Beagles|9/25
market_news,birthday,Florence,Jahmir Ackerson|9/25
market_news,birthday,Crestview,Andrew Miller|9/26
market_news,birthday,Florence,Tristan Miller|9/27
market_news,birthday,Union,Linnea Gault|9/28
market_news,birthday,Anderson,Samuel Potter|10/1
market_news,birthday,Anderson,Briana Ordel|10/5
market_news,birthday,Harrison,Ethan Myers|10/6
market_news,birthday,Crestview,Kyle Larkin|10/7
market_news,birthday,Harrison,Theorie Troxell|10/8
market_news,birthday,Florence,Jennifer Zepahua|10/9
market_news,birthday,Crestview,Christopher Brown|10/10
market_news,birthday,Crestview,Jaquale Miller|10/10
market_news,birthday,Florence,Lucas Dennison|10/12
market_news,birthday,Harrison,Ronald Williams|10/12
market_news,anniversary,Harrison,Donna Nease|7yr|9/25
market_news,anniversary,Crestview,Adrianna Huddleston|4yr|9/27
market_news,anniversary,Harrison,James Patrick|5yr|9/28
market_news,anniversary,Crestview,Karen Shields|12yr|9/30
market_news,anniversary,Harrison,Raven Horton|1yr|10/2
market_news,anniversary,Harrison,Eriquana Price|1yr|10/9
market_news,anniversary,Anderson,Andrew Jones|6yr|10/13
market_news,anniversary,Crestview,Andrew Miller|3yr|10/13
market_news,anniversary,Florence,Nathan Dennis|2yr|10/15
market_news,at,Market,9/25 ~6:52 AM ET
gf,rolling30_n,ScottMarket,494
gf,rolling30_osat,ScottMarket,76.3
gf,rolling30_brand,ScottMarket,69.6
gf,rolling30_delta,ScottMarket,+6.7
gf,rolling30_n,Anderson,93
gf,rolling30_osat,Anderson,73.5
gf,rolling30_acc,Anderson,94.0
gf,rolling30_mngr,Anderson,59.2
gf,rolling30_food,Anderson,79.3
gf,rolling30_friend,Anderson,81.2
gf,rolling30_speed,Anderson,73.3
gf,rolling30_ready,Anderson,75.0
gf,rolling30_n,Crestview,103
gf,rolling30_osat,Crestview,75.3
gf,rolling30_acc,Crestview,92.5
gf,rolling30_mngr,Crestview,62.7
gf,rolling30_food,Crestview,79.1
gf,rolling30_friend,Crestview,83.7
gf,rolling30_speed,Crestview,75.3
gf,rolling30_ready,Crestview,77.8
gf,rolling30_n,Florence,98
gf,rolling30_osat,Florence,81.6
gf,rolling30_acc,Florence,94.3
gf,rolling30_mngr,Florence,58.2
gf,rolling30_food,Florence,82.6
gf,rolling30_friend,Florence,80.5
gf,rolling30_speed,Florence,72.5
gf,rolling30_ready,Florence,83.3
gf,rolling30_n,Harrison,145
gf,rolling30_osat,Harrison,72.8
gf,rolling30_acc,Harrison,89.6
gf,rolling30_mngr,Harrison,44.3
gf,rolling30_food,Harrison,79.0
gf,rolling30_friend,Harrison,82.9
gf,rolling30_speed,Harrison,83.1
gf,rolling30_ready,Harrison,82.9
gf,rolling30_n,Union,113
gf,rolling30_osat,Union,79.2
gf,rolling30_acc,Union,94.3
gf,rolling30_mngr,Union,53.8
gf,rolling30_food,Union,84.0
gf,rolling30_friend,Union,87.5
gf,rolling30_speed,Union,86.2
gf,rolling30_ready,Union,87.0
gf,rolling30_at,Market,9/18 Fri night pull · folded 9/19 7:06 AM ET
gf,rolling30_note,Market,Last 30 Days to Date dine-in Ranker; Harrison never Harrison; Ready n<30 all stores
catering_osat30,osat,Anderson,100.0
catering_osat30,n,Anderson,5
ez_cater,osat30,Anderson,100.0 (n5)
catering_osat30,osat,Crestview,85.7
catering_osat30,n,Crestview,7
ez_cater,osat30,Crestview,85.7 (n7)
catering_osat30,osat,Florence,90.0
catering_osat30,n,Florence,10
ez_cater,osat30,Florence,90.0 (n10)
catering_osat30,osat,Harrison,80.0
catering_osat30,n,Harrison,5
ez_cater,osat30,Harrison,80.0 (n5)
catering_osat30,osat,Union,100.0
catering_osat30,n,Union,3
ez_cater,osat30,Union,100.0 (n3)
catering_osat30,osat,ScottMarket,90.0
catering_osat30,n,ScottMarket,30
ez_cater,osat30,ScottMarket,90.0 (n30)
catering_osat30,brand,Market,83.9
catering_osat30,at,Market,9/18 Fri night · folded 9/19 7:06 AM ET
catering_osat90,osat,Anderson,100.0
catering_osat90,n,Anderson,9
ez_cater,osat90,Anderson,100.0 (n9)
catering_osat90,osat,Crestview,96.4
catering_osat90,n,Crestview,28
ez_cater,osat90,Crestview,96.4 (n28)
catering_osat90,osat,Florence,92.0
catering_osat90,n,Florence,25
ez_cater,osat90,Florence,92.0 (n25)
catering_osat90,osat,Harrison,92.9
catering_osat90,n,Harrison,14
ez_cater,osat90,Harrison,92.9 (n14)
catering_osat90,osat,Union,93.8
catering_osat90,n,Union,16
ez_cater,osat90,Union,93.8 (n16)
catering_osat90,osat,ScottMarket,94.6
catering_osat90,n,ScottMarket,92
ez_cater,osat90,ScottMarket,94.6 (n92)
catering_osat90,brand,Market,84.0
catering_osat90,at,Market,9/18 Fri night · folded 9/19 7:06 AM ET
my_schedule,Mon 9/21,Market,2:00–2:30 PM — RD's AD Game Plan (Ryan Downam)
my_schedule,Tue 9/22,Market,2:30–3:30 PM — South Cinci Weekly GM Call (Joe Scott)
my_schedule,Wed 9/23,Market,All day — Ohmar’s Anniversary (Busy; recurring)
my_schedule,Wed 9/23,Market,2:30–4:00 PM — Q3 Results GM Meeting Downam Region (Ryan Downam; Tentative)
my_schedule,Thu 9/24,Market,—
my_schedule,Fri 9/25,Market,10:30–11:00 AM — Joe Weekly Recap (Ryan Downam)
my_schedule,Fri 9/25,Market,2:00–3:00 PM — New Hire / Sales Calls Follow-up
my_schedule,Sat 9/26,Market,—
lines,date,Market,2026-09-23
lines,lc1,Anderson,1
lines,lc2,Anderson,1
lines,lc3,Anderson,0
lines,sn1,Anderson,1
lines,sn2,Anderson,1
lines,lc1,Crestview,0
lines,lc2,Crestview,1
lines,lc3,Crestview,1
lines,sn1,Crestview,1
lines,sn2,Crestview,1
lines,lc1,Florence,1
lines,lc2,Florence,1
lines,lc3,Florence,1
lines,sn1,Florence,0
lines,sn2,Florence,0
lines,lc1,Harrison,1
lines,lc2,Harrison,1
lines,lc3,Harrison,1
lines,sn1,Harrison,1
lines,sn2,Harrison,1
lines,lc1,Union,1
lines,lc2,Union,1
lines,lc3,Union,1
lines,sn1,Union,1
lines,sn2,Union,1
lines,date,Market,2026-09-24
lines,lc1,Anderson,1
lines,lc2,Anderson,1
lines,lc3,Anderson,1
lines,sn1,Anderson,1
lines,sn2,Anderson,1
lines,lc1,Crestview,0
lines,lc2,Crestview,1
lines,lc3,Crestview,1
lines,sn1,Crestview,1
lines,sn2,Crestview,1
lines,lc1,Florence,1
lines,lc2,Florence,1
lines,lc3,Florence,1
lines,sn1,Florence,1
lines,sn2,Florence,1
lines,lc1,Harrison,1
lines,lc2,Harrison,1
lines,lc3,Harrison,1
lines,sn1,Harrison,1
lines,sn2,Harrison,1
lines,lc1,Union,1
lines,lc2,Union,1
lines,lc3,Union,1
lines,sn1,Union,1
lines,sn2,Union,0
lc_sn,lc1,Anderson,1
lc_sn,lc1_by,Anderson,Sarah 10:04a
lc_sn,lc2,Anderson,1
lc_sn,lc2_by,Anderson,Sarah 1:35p
lc_sn,lc3,Anderson,1
lc_sn,lc3_by,Anderson,Stefan 4:37p
lc_sn,sn1,Anderson,1
lc_sn,sn1_by,Anderson,Sarah AM 2:40p
lc_sn,sn2,Anderson,1
lc_sn,sn2_by,Anderson,Emma PM 9:45p
lc_sn,bank_run_by,Anderson,Sarah
lc_sn,lc1,Crestview,0
lc_sn,lc1_by,Crestview,—
lc_sn,lc2,Crestview,1
lc_sn,lc2_by,Crestview,Johie Haney 2:31p
lc_sn,lc3,Crestview,1
lc_sn,lc3_by,Crestview,Rit 4:12p
lc_sn,sn1,Crestview,1
lc_sn,sn1_by,Crestview,johie AM 2:51p
lc_sn,sn2,Crestview,1
lc_sn,sn2_by,Crestview,johie PM 7:17p
lc_sn,bank_run_by,Crestview,Maryssa Cox
lc_sn,lc1,Florence,1
lc_sn,lc1_by,Florence,Yaztastic 7:45a
lc_sn,lc2,Florence,1
lc_sn,lc2_by,Florence,Kyle 2:04p
lc_sn,lc3,Florence,1
lc_sn,lc3_by,Florence,Kyle's 4:47p
lc_sn,sn1,Florence,1
lc_sn,sn1_by,Florence,Yaztastic AM 2:23p
lc_sn,sn2,Florence,1
lc_sn,sn2_by,Florence,Olivia Pendleton PM 8:29p
lc_sn,bank_run_by,Florence,—
lc_sn,lc1,Harrison,1
lc_sn,lc1_by,Harrison,Russell 8:52a
lc_sn,lc2,Harrison,1
lc_sn,lc2_by,Harrison,Russ 2:18p
lc_sn,lc3,Harrison,1
lc_sn,lc3_by,Harrison,Nat 4:45p
lc_sn,sn1,Harrison,1
lc_sn,sn1_by,Harrison,Russ AM 2:07p
lc_sn,sn2,Harrison,1
lc_sn,sn2_by,Harrison,Ethan PM 7:02p
lc_sn,bank_run_by,Harrison,Russ
lc_sn,lc1,Union,1
lc_sn,lc1_by,Union,Kleyer Coxaj 10:10a
lc_sn,lc2,Union,1
lc_sn,lc2_by,Union,Molly 3:18p
lc_sn,lc3,Union,1
lc_sn,lc3_by,Union,Molly 6:03p
lc_sn,sn1,Union,1
lc_sn,sn1_by,Union,Molly AM 3:52p
lc_sn,sn2,Union,0
lc_sn,sn2_by,Union,—
lc_sn,bank_run_by,Union,Jed
