store,avg_disarm,avg_arm,flags,nights_disarm,nights_arm,window
Anderson,5:57 AM,10:12 PM,1,8,8,since 9/5
Crestview,5:38 AM,9:41 PM,0,8,7,since 9/5
Florence,5:52 AM,11:36 PM,0,8,7,since 9/5
Harrison,6:30 AM,10:04 PM,1,7,7,since 9/5
Union,6:42 AM,10:36 PM,0,8,8,since 9/5
ScottMarket,6:08 AM,10:26 PM,2,39,37,since 9/5
