period,date,store,lunch,mid,dinner,late,total,pct,tickets
wtd,2026-09-14,Anderson,0,0,0,0,0,,
wtd,2026-09-14,Crestview,10,2,12,0,24,,
wtd,2026-09-14,Florence,1,0,0,0,1,,
wtd,2026-09-14,Harrison,2,0,0,0,2,,
wtd,2026-09-14,Union,0,0,0,0,0,,
wtd,2026-09-14,Scott Market,13,2,12,0,27,,
