block,label,n,osat,accuracy,food,mgr_visit,readiness,speed,friendliness
1,Jun 7–Jul 4,469,73.8,93.4,79.4,59.5,78.5,79.0,84.9
2,Jul 5–Aug 1,499,74.9,91.6,79.3,59.4,85.0,78.1,85.2
3,Aug 2–Sep 5,632,73.9,93.2,77.1,58.4,75.9,76.6,83.4
