period,date,store,lunch,mid,dinner,late,total,pct,tickets
yesterday,2026-09-06,Anderson,2,0,0,0,2,0.94,213
yesterday,2026-09-06,Crestview,6,0,0,0,6,2.19,274
yesterday,2026-09-06,Florence,6,0,1,0,7,3.23,217
yesterday,2026-09-06,Harrison,0,0,0,0,0,0.00,245
yesterday,2026-09-06,Union,0,0,0,0,0,0.00,215
yesterday,2026-09-06,Scott Market,14,0,1,0,15,1.29,1164
