range,store,orders,sales,flags
2026-09-09 to 2026-09-13,Anderson,3,1055.79,2 purple
2026-09-09 to 2026-09-13,Crestview,2,1818.19,1 green 1 purple
2026-09-09 to 2026-09-13,Florence,3,1955.31,
2026-09-09 to 2026-09-13,Harrison,2,783.67,
2026-09-09 to 2026-09-13,Union,1,1293.60,1 green
2026-09-09 to 2026-09-13,ScottMarket,11,6906.56,2 green 3 purple
