store,n,osat,food,acc,mngr,friend,speed,ready
Union,17,82.4,94.1,94.1,33.3,87.5,72.7,60.0
Florence,18,77.8,77.8,100.0,60.0,76.5,71.4,100.0
Harrison,46,69.6,73.9,82.6,13.6,70.5,67.9,70.6
Crestview,30,66.7,73.3,93.3,46.7,76.7,58.3,66.7
Anderson,27,55.6,66.7,96.3,41.2,69.2,50.0,55.6
Scott Market,138,68.8,,,,,,
