store,n,osat,food,bev,friendly,speed,delivery,readiness,clean,dt_clean,pickup_clean,value,accuracy,loyalty,mgr_visit,refill,window
Anderson,105,69.6,73.6,—,79.8,72.1,—,68.2,78.2,—,—,—,92.4,—,60.7,—,9/13 6:52 PM ET
Crestview,105,75.0,77.7,—,83.2,69.7,—,66.7,79.1,—,—,—,94.8,—,59.7,—,9/13 6:52 PM ET
Florence,97,79.8,81.0,—,79.8,81.2,—,85.0,76.9,—,—,—,95.2,—,68.6,—,9/13 6:52 PM ET
Harrison,142,74.0,77.8,—,81.6,82.4,—,77.1,78.0,—,—,—,89.8,—,43.4,—,9/13 6:52 PM ET
Union,110,79.6,82.5,—,89.1,84.6,—,86.4,90.4,—,—,—,96.1,—,58.5,—,9/13 6:52 PM ET
Scott Market,559,75.5,78.5,—,82.7,78.3,—,76.7,80.5,—,—,—,93.4,—,57.1,—,9/13 6:52 PM ET
