date,time,store,score,quote
2026-09-04,9:14 AM,Florence,5,"The manager at the Florence KY location is the best. She is always so friendly and efficient when delivering and setting up"
2026-09-04,9:10 AM,Florence,5,Always a crowd pleaser!
2026-09-04,12:17 PM,Harrison,5,
2026-09-03,11:41 AM,Florence,5,Wonderful experience
