date,store,orders,sales,open,closed,names,flags,flag_detail,lock
2026-09-14,Anderson,2,1027.62,0,2,,0,,closed
2026-09-14,Crestview,7,2967.53,0,7,,0,,closed
2026-09-14,Florence,2,471.39,0,2,,0,,closed
2026-09-14,Harrison,1,163.96,0,1,,0,,closed
2026-09-14,Union,2,581.26,0,2,,0,,closed
2026-09-14,ScottMarket,14,5211.76,0,14,,0,,closed
