card,date,label
today,2026-09-14,Mon 9/14
tomorrow,2026-09-15,Tue 9/15
week_start,2026-09-14,Mon 9/14
week_end,2026-09-20,Sun 9/20
note,do_not_use_numbers_date,numbers_date is sales yesterday Sun 9/13
