daypart,store,n,osat,food,acc,mngr,friend,speed,ready,rank,window
Dinner After 5pm,Florence,16,75.0,73.3,87.5,30.0,68.8,58.3,75.0,1,9/20 11:32 AM ET
Dinner After 5pm,Crestview,22,72.7,77.3,86.4,60.0,81.8,64.7,75.0,2,9/20 11:32 AM ET
Dinner After 5pm,Harrison,46,71.7,78.3,87.0,26.9,78.3,83.3,75.0,3,9/20 11:32 AM ET
Dinner After 5pm,Union,17,70.6,94.1,88.2,25.0,75.0,72.7,80.0,4,9/20 11:32 AM ET
Dinner After 5pm,Anderson,22,63.6,77.3,86.4,30.0,76.2,54.5,80.0,5,9/20 11:32 AM ET
