metric,block1,block2,block3,d12,d23
Overall OSAT,73.8,74.9,73.9,1.1,-1.0
Accuracy,93.4,91.6,93.2,-1.8,1.6
Food quality,79.4,79.3,77.1,-0.1,-2.2
Manager visits,59.5,59.4,58.4,-0.1,-1.0
Order readiness,78.5,85.0,75.9,6.5,-9.1
Speed,79.0,78.1,76.6,-0.9,-1.5
Friendliness,84.9,85.2,83.4,0.3,-1.8
